Mindong	Mandarin Trans.
筅堂	民俗, 农历十二月, 家家户户打扫卫生迎新年叫筅堂
年暝兜	年前
澈洁	清洁干净
位处	位置
塕尘	灰尘
无块死乇	不用的杂物
粪倒	垃圾
壁枋	木头房子里面的墙壁
{坎,槛}门	窗户
澈澈洁	干干净净
暝晦	倒霉
倩	雇人代替自己做
灶前帐	厨房用具统称
睏	睡
暝晦	倒霉
行裏	走入
稠稠	常常
逿雨	下雨
旧底	过去
乍	刚才
缚	绑
对手	帮忙
