Han Character,"Mandarin Trans."
細{辰候,前後},"小时候"
"細{辰候,前後}, 我 稠 偷 依{嫲,媽} 其 錢","小时候, 我 常 偷 奶奶 的 錢"
"大 以後, 我 問 依{嫲,媽}, 汝 會{八,仈} 錢 少 {哦,去} {嗎,儥}","长大 後, 我 問 奶奶, 您 知道 錢 少 了 嗎"
"依{嫲,媽} 講, 會{八,仈}","奶奶 說, 知道"
"我 {說,講}, {會,佪} 汝 {快,傒}势 伓 換 蜀 块 地方","我 說, 那 你 爲什麼 不 換 一 个 地方"
"依{嫲,媽} 講, {许款,許樣款} 汝 討 儥 着","奶奶 說, 那樣 你 就 找 不 到 了"
"現在 {啊,吓}, 我 討 {不,伓} 着 依{嫲,媽} 了","而 現在, 我 卻 找 不 到 奶奶 了"
