#/与〃表示同上
#-表示合音
#----------一、天文　地理
驼匏	tɔ22 pou22	驼背
悬哥	kɛiŋ22 ŋo332	高个子
矮囝	ɛ35 iaŋ42	矮个子
#----------八、亲属　称谓
阿爹	a44 lɛ332	父亲
奶	nɛ42	母亲
公	kouŋ332	祖父
婆	pɔ22	祖母、婆婆
伯奶	pɛik55 nɛ42	伯母
外公	ŋuoi44 ouŋ332	外祖父
外婆	ŋuoi44 pɔ22	外祖母
姊哥	tsi55 ɔ332	姐姐、夫姊
哥弟哥	kɔ332 li44 ɔ332	弟兄
/兄弟哥	hiaŋ332 ni44 ɔ332	〃
囝	kiaŋ42	儿子
孙	sɔouŋ332	孙子、侄子
隔两孙	kak55 laŋ55 nɔouŋ332	重孙
后头	au44 lau22	娘家
同门丈	tœŋ22 muŋ22 nioŋ23	连襟
诸-娘-囝	tsøŋ44 ŋiaŋ42	女儿
囝新妇	kiaŋ55 niŋ332 mou23	儿媳
年婿	niŋ22 nai35	女婿
老公	lau44 ouŋ332	丈夫
老妈	lau44 ma42	妻子
阿爹	a332 lɛ332	公公
姑姐	ku23 ʒe332	夫妹
妹婿	muoi55 lai35	妹夫
姊丈	tsi55 lioŋ23	姊夫
#----------九、身体　五官		
完身	muŋ22 neiŋ332	身体
面	meiŋ35	脸
眉脐	mi22 ʒai22	眉头
目睭（珠）	mik44 ʒeu332	眼睛
目睭仁	mik44 ʒeu332 neiŋ22	眼珠
目汁	mik44 tsɛik5	眼泪
额头舷	ŋeik44 lau22 iŋ22	额头
鼻翁	p'i55 œŋ332	鼻子
鼻	p'ei35	鼻涕
喙	ts'øi35	嘴巴
喙齿	ts'i55 i42	牙齿
齿座	ts'i55 i42 ʒɔ23	齿龈
齿垢	ts'i35 i42 kou42	牙垢
𪢌（漤）	laŋ42	涎水
下廊	a44 lɔuŋ22	下巴
脰肳（稳）	tau44 uŋ42	脖子
肩头	kiŋ23 nau42	肩膀
背中	pɔ55 louŋ332	背
胳络下	kɔk55 lɔk55 a23	胳肢窝
脾	pei22	胰脏
𬂌	nɛiŋ35	乳房
腹肚	puk55 lu23	肚子
腹脐	puk55 ʒai22	肚脐
骹	k'a332	脚
后𩨑	au44 naŋ332	脚跟
掌（跣）甲	tsiŋ55 ŋak5	手指甲
掌（跣）头	tsiŋ35 nau42	手指头
股川	ku55 luŋ332	屁股
肾脬	liŋ44 ma332	阴囊
屄	pik5	女阴
#----------十、生老　病死
扛新妇	kɔuŋ44 niŋ55 mou23	娶亲
新妇	siŋ44 mou23	新娘
礼金	lɛ55 eiŋ332	彩礼
病囝	paŋ44 ŋiaŋ42	害喜
带娠	tai55 leiŋ332	怀孕
做月利	tsɔ44 ŋuk44 lei23	坐月子
畏寒	uoi44 aŋ22	发冷
哈七	ha332 ts'ik5	打喷嚏
哈□	ha332 mei23	打呵欠
腹肚泻	puk55 lu55 se35	拉肚子
拍寒	p'ak55 kaŋ22	发疟子
出麻	ts'uk55 mɔ22	出麻疹
出豆	ts'uk55 tau23	出天花
病腿	paŋ44 t'øi42	麻疯
𢯽	ts'e35	传染
感	kaŋ42	感冒
痱	pøi35	痱子
过世	ku55 li35	去世
/死咧	si42 lik5	〃
#----------十一、饮食　穿戴
饭	maŋ35	米饭
糜粥	mi22 tsøk5	粥
饮	aŋ42	米汤
饭疕	maŋ55 p'i42	锅巴
潘	p'ouŋ332	泔水
饰	seik5	下饭菜
食	seik5	吃、喝、抽
□	tik5	盛（饭）
糖囝	t'ɔuŋ22 ŋiaŋ42	麦芽糖
茶米	ta22 mi42	茶叶
汤	t'ɔuŋ332	热水、菜汤
凊水	ts'iŋ55 i42	冷水
腐浆	hu44 ʒioŋ332	豆浆
腐乳	hu44 i42	酱豆腐
醮料	tsieu44 lɛu23	作料
腐箸	hu44 løi23	豆腐皮
冰箸	piŋ44 nøi23	冰棍儿
皮卵	p'uoi22 lɔu23	松花蛋
颂	souŋ23	穿
褪	t'ɔuŋ35	脱
手-䘼-	ts'iuŋ42	袖子
背褡	puoi55 lak5	背心
𪢌□	laŋ35 la42	围嘴巾
鞋套	ɛ22 lɔ35	雨鞋
/鞋靴	ɛ22 hu332	〃
犬撵	k'eiŋ55 nɛiŋ35	木屐
鞋靸	ɛ22 liak5	拖鞋
裤郎	k'u55 lɔuŋ22	裤衩
裂爿裤	leik44 ßɛiŋ22 ŋou35	开裆裤
#----------十二、动作　心理
睨	ɛ35	看
𢩅	k'iak5	闭（眼）
⿰目聂	niak5	眨（眼）
㕭	au22	哭
□	k'ɛ42	啃
呸	p'øi35	吐（痰）
㖹	pouŋ22	吹（火）
嗍	sɔk5	吮吸
□	sik5	吻
饲	ts'ei35	喂
掏（驮）	tɔ22	拿
拍	p'ak5	打
搦	nak2	抓（人）
𫼗	ma332	抓（物）
昂	ŋɔuŋ22	抬（头）
褶	tsik5	挽（袖子）
安	aŋ332	放着
