Document ID	Conversation ID	Provider	Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Year	YYYY-MM-DD	HH:MM:SS (UTC+8)	Source & Copyright	Copyright	Tag	Note	Property
43		刑部Dana			25	fzho		2020-05-19	15:44:03					
44		刑部Dana			25	fzho		2020-05-19	15:52:00					
45		刑部Dana			25	fzho		2020-05-19						
51		刑部Dana			25	fzho		2020-05-19						
46	8	关彳山			24	fzho		2020-05-19	16:02:31					
47	8	刑部Dana			25	fzho		2020-05-19	16:08:39					
48		刑部Dana			25	fzho		2020-05-19						
49		刑部Dana			25	fzho		2020-05-21						
50		刑部Dana			25	fzho		2020-05-21						
52		刑部Dana			25	fzho		2020-05-21	15:34:30					
53		林文芳				fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 573. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				
54		林文芳				fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 573. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				
55		林文芳				fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 575. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				
56		林文芳				fuqi				范晓蕾. 基于汉语方言的惯常范畴研究[J/OL]. 当代语言学, 2017, 19(4): 575. https://fh.pku.edu.cn/docs/2019-04/20190410152556167231.pdf.				
57		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
58		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
59		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
60		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
61		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義	「惹」語義較「𠚺」輕	
62		刑部Dana			25	fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
63		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
64		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
65		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
66		关彳山				fzho				R. S. Maclay, C. C. Baldwin, S. H. Leger. Dictionary of the Foochow Dialect[M]. 3rd ed. 1929: 1439.	CC BY-SA 3.0	貶義		
67		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
68		关彳山				fzho				維基教科書编者. 福州語/詈罵用語[G/OL]. 中文維基教科書, 2019-11-12[2020-08-09]. https://zh.wikibooks.org/w/index.php?title=福州語/詈罵用語&direction=next&oldid=128829.	CC BY-SA 3.0	貶義		
