平话汉字	普通话翻译
蜀 年 遘 尾 洗洗荡荡,	
年暝兜 复 着 大 筅堂.	
每 蜀 年 祭灶 以后,	
家家主主 都 开始 大 扫除,	
准备 做年 啰.	
风俗 悬顶 就 叫 着 筅堂.	
按 旧例,	
筅堂 着 择 日子.	
筅堂 一般 着 举 着 灯笼 将 厝 里 厝 外 边边角角 逐位 其 筅 澈洁.	 
特别 着 筅 平常间 野 少 扫 遘 其 位处,	
掸拂 塕尘 蜘蛛	
