Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Provider	Year	Month	Date	HH:MM:SS (UTC+8)	Property
今旦 寫 作文 我 感覺 野 難, 㑚 仂 久 時間 馬上 就 着 交 乞 先生.		25	fzho	刑部Dana	2020	5	21	13:14:59	written
我 蜀 字 都 寫 儥 出 了.		25	fzho	刑部Dana	2020	5	21	13:51:10	written
我 野 氣.		25	fzho	刑部Dana	2020	5	21	13:51:21	written
傒勢 會 總款.	怎麼 會 這樣.	25	fzho	刑部Dana	2020	5	21	13:52:27	written
