Mindong	Mandarin Trans.	Speaker ID	Provider	Year	Month	Date	Property
這[zi21] 兩[lang55] 工[eoyng55] 降溫 野 利害 {啊,吓}, 做 蜀下 就 趁 三十 度 逿 遘 十 幾 度 了 去.	這 兩 天 降溫 真 厲害, 一下子 就 從 三十 多 度 掉 到 十 幾 度 了.	36	李浩博	2020	4	24	written
伓是 故 儥 捨. 都 講, 清明 穀雨, 寒 死 老鼠, 今年暝 雖然 講 天氣 反常 熱, 者 寒 遲 囉, 但是 到底 也 遘 囉{啊,吓}.	那 可 不是. 俗話 說, 清明 穀雨, 寒 死 老鼠, 今年 雖然 說 天氣 反常 {的,地} 熱, 但是 冷空氣 到底 雖 遲 但 到 啊.	36	李浩博	2020	4	24	written
