Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Provider	Year	Source & Copyright	Copyright	Tag	Property
本次<G=buōng-ché̤ṳ> 列車<G=liĕk-chiă> 終點站<G=cṳ̆ng-diēng-câng>, 福州火車南站<G=hók-cĭu-huōi-chiă-nàng-câng>. 下<G=â> 蜀(一)<G=siŏh> 站<G=câng> 黃山<G=uòng-săng>.	本次 列車 終點站, 福州火車南站. 下 一 站 黃山.	31	fzho	关彳山	2016	维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81%26oldid=40525393.	CC BY-SA 3.0	交通	formal
黃山<G=uòng-săng> 遘(到)<G=gáu> 了<G=lāu>, 請<G=chiāng> 趁(從)<G=téng> 左邊(左側)<G=cō̤-bĕng> 車門<G=chiă-muòng> 落車(下車)<G=lŏ̤h-chiă>.	黃山 到 了, 請 從 左側 車門 下車.	31	fzho	关彳山	2016	维基百科编者. 福州地铁[G/OL]. 中文维基百科, 2016-06-20[2020-04-15]. https://zh.wikipedia.org/w/index.php?title=%E7%A6%8F%E5%B7%9E%E5%9C%B0%E9%93%81%26oldid=40525393.	CC BY-SA 3.0	交通	formal
