Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Provider	Year	Month	Date	HH:MM:SS (UTC+8)	Property	Multi-sentences Num.
我 寫 完 了. 我 野 霸. 我 就是 天才<Ŋ=cmn>.		25	fzho	刑部Dana	2020	5	21	15:32:27	written	11
{2h,兩點鍾} 寫 了 {3000,三千} 字.	兩 個 小時 寫 了 三千 字.	25	fzho	刑部Dana	2020	5	21	15:32:58	written	11
