Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Provider	Year	Month	Date	HH:MM:SS (UTC+8)	Property
手機 也 有?!	手機 也 有?!	25	fzho	刑部Dana	2020	5	19	16:03:36	written
會使.	可以.	25	fzho	刑部Dana	2020	5	19	16:06:24	written
