Mindong	Mandarin Trans.	Speaker ID	ISO 639-6	Provider	Year	Month	Date	HH:MM:SS (UTC+8)	Property
我 先 去 睏晝, 野 睶 去.	我 先 去 睡 午覺, 很 睏 了.	24	fzho	关彳山	2020	5	19	16:02:31	written
汝 快[ke53] 去[oo213] 睏.	你 快 去 睡.	25	fzho	刑部Dana	2020	5	19	16:08:39	written
