Mindong	Speaker ID	ISO 639-6	Provider	Year	Month	Date	Source & Copyright	Copyright	Property	Multi-sentences Num.
汝 好, 汝 名(叫) 世乇(什麼).	10	fzho,mqig	关彳山	2018	9	20	維基教科書编者. 福州語/會話/第1課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第1課%26oldid=123269.	CC BY-SA 3.0	written	13
我 其(的) 名字 號(叫) 𡅏(做).	10	fzho,mqig	关彳山	2018	9	20	維基教科書编者. 福州語/會話/第1課[G/OL]. 中文維基教科書, 2018-09-20[2021-01-30]. https://zh.wikibooks.org/w/index.php?title=福州語/會話/第1課%26oldid=123269.	CC BY-SA 3.0	written	13
